,experiment,job,count,iteration
0,cpu-static,mlsample,12,0
1,cpu-static,createsim,10,0
2,cpu-static,cganalysis,10,0
3,cpu-static,mlsample,10,1
4,cpu-static,createsim,10,1
5,cpu-static,cganalysis,10,1
6,cpu-static,mlsample,11,2
7,cpu-static,createsim,10,2
8,cpu-static,cganalysis,10,2
9,cpu-autoscale,mlsample,12,0
10,cpu-autoscale,createsim,10,0
11,cpu-autoscale,cganalysis,10,0
12,cpu-autoscale,mlsample,11,1
13,cpu-autoscale,createsim,10,1
14,cpu-autoscale,cganalysis,10,1
15,gpu-static,mlsample,11,0
16,gpu-static,createsim,10,0
17,gpu-static,cganalysis,10,0
18,gpu-static,mlsample,10,1
19,gpu-static,createsim,10,1
20,gpu-static,cganalysis,10,1
21,gpu-static,mlsample,10,2
22,gpu-static,createsim,10,2
23,gpu-static,cganalysis,10,2
